Wen_re,n,Wen_im,k
0.365032,6.74147,0.332195,3.06060
0.382649,5.83128,0.359342,2.44242
0.413919,5.12593,0.359342,1.71334
0.454835,4.65349,0.365032,1.07368
0.507709,4.36298,0.365032,0.843121
0.566730,4.09060,0.376684,0.641073
0.632612,3.96086,0.376684,0.519902
0.717334,3.83523,0.382649,0.401733
0.826283,3.77392,0.388708,0.325800
0.951779,3.71359,0.394863,0.255839
1.09633,3.71359,0.401116,0.204165
1.24316,3.71359,0.420473,0.157761
,,0.440766,0.123884
,,0.454835,0.103759
,,0.476785,0.0855142
,,0.499795,0.0682422
,,0.532211,0.0535881
,,0.540639,0.0441653
,,0.575704,0.0358175
,,0.613043,0.0295194
,,0.642629,0.0235571
,,0.684309,0.0197303
,,0.717334,0.0162610
,,0.751953,0.0136194
,,0.813403,0.0115923
,,0.826283,0.00986685
,,0.852658,0.00853469
,,0.852658,0.00726438
,,0.866159,0.00628359
,,0.879875,0.00543522
,,0.893807,0.00455228
,,0.893807,0.00369184
,,0.907960,0.00309210
,,0.907960,0.00254839
,,0.922338,0.00206671
,,0.936942,0.00167608
,,0.936942,0.00138136
,,0.951779,0.000679755
,,0.951779,0.000908518
,,0.951779,0.00113846
,,0.966850,0.000542459
,,0.982159,0.000318714
,,0.982159,0.000419164
,,0.982159,0.000238463
,,0.997712,0.000193390
,,0.997712,0.000167280
,,1.01351,0.000142382
,,1.02956,0.000110020
,,1.02956,0.0000823170
,,1.04586,0.0000625903
,,1.04586,0.0000515846
,,1.06242,0.0000446200
